,id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,land_contour,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_sf_2,total_bsmt_sf,heating_qc,central_air,electrical,gr_liv_area,bsmt_full_bath,full_bath,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,sale_type,saleprice
20,2062,20,RL,109.0,8724,Pave,Lvl,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,492.0,0.0,894.0,4,Y,5,894,0.0,1,1,3,5,7,1,1,Attchd,1968.0,3,2.0,450.0,3,3,3,WD ,129000
21,351,120,RL,40.0,5664,Pave,Lvl,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1158.0,0.0,1501.0,5,Y,5,1659,1.0,2,1,5,5,7,1,5,Attchd,2000.0,3,2.0,499.0,3,3,3,WD ,278000
22,2393,60,RL,103.0,12867,Pave,Lvl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CmentBd,None,0.0,4,3,PConc,5,3,3,1,0.0,0.0,1209.0,5,Y,5,2253,0.0,2,1,5,8,7,1,4,Attchd,2005.0,3,2.0,575.0,3,3,3,New,344133
23,12,20,RL,72.02564102564102,7980,Pave,Lvl,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,0.0,1168.0,5,Y,5,1187,1.0,2,1,3,6,7,0,0,Attchd,1992.0,3,2.0,420.0,3,3,3,WD ,185000
24,2339,190,RL,100.0,34650,Pave,Bnk,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,1056.0,0.0,1056.0,3,N,5,1056,1.0,1,1,3,5,7,0,0,Attchd,1955.0,3,2.0,572.0,3,3,3,WD ,145000
25,624,20,RL,92.0,10573,Pave,Lvl,NAmes,Norm,1Fam,1Story,6,6,1961,1961,Hip,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,1312.0,0.0,1453.0,5,Y,5,1453,1.0,2,1,3,6,7,1,3,Attchd,1961.0,2,2.0,530.0,3,3,3,WD ,187500
26,86,20,RL,65.0,8450,Pave,Lvl,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,553.0,117.0,894.0,5,Y,5,894,1.0,1,1,3,5,7,1,4,Detchd,1973.0,1,1.0,336.0,3,3,3,WD ,138500
27,1534,50,RL,69.27272727272727,11700,Pave,HLS,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,Wd Shng,None,0.0,3,3,CBlock,3,3,1,4,606.0,0.0,942.0,5,Y,5,1938,0.0,2,1,4,7,5,1,4,Detchd,1937.0,1,1.0,240.0,3,3,3,WD ,198000
28,2243,190,C (all),75.0,8250,Pave,Lvl,IDOTRR,Feedr,2fmCon,2Story,5,6,1895,2006,Gable,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,0.0,0.0,957.0,2,N,5,1991,0.0,2,2,3,9,7,0,0,,0.0,0,0.0,0.0,0,0,1,WD ,119600
29,1957,50,RL,60.0,8064,Pave,Lvl,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,0.0,0.0,672.0,5,Y,5,924,0.0,1,1,3,6,7,1,1,Detchd,2003.0,1,2.0,576.0,3,3,3,WD ,122900
30,380,20,RL,80.0,9600,Pave,Lvl,NWAmes,PosN,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1104.0,0.0,2524.0,3,Y,5,2524,1.0,2,1,4,9,7,1,4,Attchd,1981.0,3,2.0,542.0,3,3,3,WD ,278000
31,2860,70,RL,69.27272727272727,11435,Pave,HLS,Crawfor,Norm,1Fam,2Story,8,7,1929,1950,Gable,Stucco,None,0.0,3,3,PConc,4,3,1,1,0.0,0.0,792.0,2,Y,5,1517,0.0,1,1,4,7,7,2,4,Detchd,1931.0,1,2.0,400.0,3,3,3,WD ,230000
32,2517,120,RL,30.0,9549,Pave,Lvl,Veenker,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,None,0.0,4,4,PConc,4,4,3,2,437.0,1057.0,1494.0,5,Y,5,1494,1.0,1,1,5,6,7,1,4,Attchd,1995.0,3,2.0,481.0,3,3,3,WD ,270000
33,1933,20,RL,60.0,10950,Pave,Lvl,NAmes,Norm,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,441.0,0.0,948.0,3,Y,5,948,0.0,1,1,3,5,7,0,0,Detchd,1952.0,1,2.0,410.0,3,3,1,WD ,125000
34,820,20,RL,79.0,10637,Pave,Lvl,CollgCr,Norm,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,0.0,1705.0,5,Y,5,1718,1.0,2,1,4,7,7,1,4,Attchd,2007.0,2,3.0,826.0,3,3,3,WD ,297000
35,675,20,RL,80.0,9000,Pave,HLS,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Flat,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,0.0,0.0,160.0,2,Y,5,1142,0.0,1,1,3,5,7,1,4,Basment,1958.0,2,1.0,384.0,3,3,3,WD ,113500
36,2910,160,RM,41.0,2665,Pave,Lvl,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CmentBd,None,0.0,3,3,PConc,3,3,1,5,548.0,173.0,757.0,5,Y,5,1475,0.0,2,1,3,6,7,1,3,Attchd,1977.0,2,1.0,336.0,3,3,3,WD ,127000
37,21,20,RL,105.0,11751,Pave,Lvl,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,0.0,1844.0,5,Y,5,1844,0.0,2,1,3,7,7,1,3,Attchd,1977.0,2,2.0,546.0,3,3,3,COD,190000
38,1873,20,RL,80.0,9600,Pave,Lvl,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,916.0,0.0,1242.0,2,Y,5,1242,0.0,1,1,3,6,7,1,3,Attchd,1973.0,1,2.0,528.0,3,3,3,WD ,175500
39,2125,20,RL,60.0,8428,Pave,Lvl,CollgCr,Norm,1Fam,1Story,5,7,1994,1994,Gable,VinylSd,None,0.0,3,4,PConc,4,4,1,6,420.0,0.0,990.0,5,Y,5,990,1.0,1,1,3,5,7,0,0,Detchd,1995.0,1,1.0,384.0,3,3,3,WD ,146000
40,1489,20,RL,75.0,9937,Pave,Lvl,Edwards,Norm,1Fam,1Story,5,6,1965,1965,Gable,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,290.0,1256.0,4,Y,5,1256,1.0,1,1,3,6,7,0,0,Attchd,1965.0,3,1.0,276.0,3,3,3,WD ,147500
41,2383,20,RL,107.0,13891,Pave,Lvl,NridgHt,Norm,1Fam,1Story,10,5,2006,2006,Gable,VinylSd,None,0.0,5,3,PConc,5,4,4,6,1386.0,0.0,2076.0,5,Y,5,2076,1.0,2,1,5,7,7,1,4,Attchd,2006.0,3,3.0,850.0,3,3,3,New,465000
42,983,85,RL,75.47692307692307,9101,Pave,Lvl,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,Plywood,BrkFace,104.0,3,4,PConc,4,3,3,6,1097.0,0.0,1097.0,5,Y,5,1110,1.0,1,1,4,4,7,1,3,Attchd,1978.0,3,2.0,602.0,3,3,3,WD ,165500
43,1325,50,RM,81.0,12150,Pave,Lvl,OldTown,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,1,1,0.0,0.0,1050.0,5,N,3,1795,0.0,2,1,3,7,7,0,0,Attchd,1954.0,1,1.0,352.0,2,3,3,WD ,131500
44,1378,20,RL,70.0,11200,Pave,Lvl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,0.0,1040.0,5,Y,5,1040,1.0,1,1,3,5,7,0,0,Detchd,1965.0,1,1.0,384.0,3,3,3,WD ,129500
45,1537,70,RL,100.0,9670,Pave,HLS,Crawfor,Norm,1Fam,2Story,8,6,1935,1950,Gable,Stucco,Stone,40.0,3,3,PConc,3,2,1,2,210.0,0.0,608.0,3,Y,5,1873,0.0,1,1,3,9,7,2,4,Detchd,1935.0,3,2.0,786.0,2,3,3,WD ,257076
46,905,50,RL,60.0,10998,Pave,Lvl,Edwards,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,408.0,420.0,984.0,5,Y,5,1604,0.0,2,1,3,6,5,0,0,Detchd,1977.0,1,2.0,660.0,3,3,3,WD ,117000
47,1532,70,RL,60.0,7200,Pave,HLS,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Gable,Wd Shng,None,0.0,3,2,BrkTil,4,3,1,1,0.0,0.0,776.0,3,Y,5,1502,0.0,1,1,3,6,7,1,4,Attchd,1931.0,2,1.0,270.0,3,3,2,WD ,149000
48,132,20,RL,80.0,9920,Pave,Lvl,NAmes,Norm,1Fam,1Story,5,5,1954,1954,Gable,HdBoard,Stone,110.0,3,3,CBlock,3,3,1,3,354.0,290.0,1056.0,3,Y,5,1063,1.0,1,1,3,6,7,0,0,Attchd,1954.0,2,1.0,280.0,3,3,3,WD ,128000
49,1078,160,RL,36.0,2448,Pave,Lvl,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Gable,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,1,0.0,0.0,764.0,5,Y,5,1626,0.0,2,1,4,6,7,0,0,BuiltIn,2003.0,2,2.0,474.0,3,3,3,WD ,155000
50,2511,160,FV,63.98290598290598,2998,Pave,Lvl,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,BrkFace,513.0,4,3,PConc,4,3,1,6,353.0,0.0,756.0,5,Y,5,1524,0.0,2,1,4,4,7,0,0,Detchd,2000.0,1,2.0,440.0,3,3,3,WD ,166000
51,912,50,RL,65.0,7804,Pave,Lvl,SWISU,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,Plywood,None,0.0,3,3,BrkTil,3,3,1,4,622.0,0.0,1122.0,3,Y,5,1981,1.0,2,1,4,7,5,2,3,Detchd,1981.0,1,2.0,576.0,3,3,3,WD ,135000
52,2351,60,RL,80.0,16692,Pave,Lvl,NWAmes,RRAn,1Fam,2Story,7,5,1978,1978,Gable,Plywood,BrkFace,184.0,3,3,CBlock,4,3,1,4,790.0,469.0,1392.0,3,Y,5,2784,1.0,3,1,4,12,7,2,3,Attchd,1978.0,2,2.0,564.0,3,3,3,WD ,250000
53,330,160,RM,21.0,1476,Pave,Lvl,MeadowV,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CmentBd,None,0.0,3,3,CBlock,3,3,1,6,176.0,0.0,546.0,5,Y,5,1092,0.0,1,1,3,5,7,0,0,,0.0,0,0.0,0.0,0,0,3,WD ,76000
54,2586,20,RL,75.0,10170,Pave,Lvl,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,BrkFace,522.0,3,3,CBlock,3,3,1,1,0.0,0.0,216.0,3,Y,5,1575,0.0,1,1,4,5,7,1,4,Attchd,1951.0,1,2.0,400.0,3,3,3,WD ,155000
55,224,60,RL,80.0,9364,Pave,Lvl,Sawyer,Norm,1Fam,2Story,6,7,1969,1969,Gable,HdBoard,Stone,143.0,3,3,CBlock,3,3,1,5,371.0,0.0,663.0,3,Y,5,1352,0.0,1,1,3,7,7,0,0,Attchd,1969.0,3,1.0,299.0,3,3,3,WD ,158000
56,98,160,FV,24.0,2544,Pave,Lvl,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,None,0.0,4,3,PConc,4,3,1,6,368.0,42.0,600.0,5,Y,5,1200,1.0,2,1,4,4,7,0,0,Detchd,2004.0,2,2.0,480.0,3,3,3,WD ,149500
57,2565,20,RL,82.0,9888,Pave,Lvl,NAmes,Norm,1Fam,1Story,5,6,1954,1975,Gable,MetalSd,None,0.0,3,4,CBlock,3,3,1,4,486.0,0.0,936.0,3,Y,4,936,0.0,1,1,3,5,7,0,0,Attchd,1954.0,1,1.0,240.0,3,3,3,WD ,121000
58,1934,20,RL,68.0,7942,Pave,Lvl,NAmes,Norm,1Fam,1Story,6,7,1953,1953,Hip,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,85.0,955.0,1040.0,3,Y,3,1040,0.0,1,1,3,6,7,0,0,Attchd,1953.0,3,1.0,293.0,3,3,3,WD ,136000
59,997,60,RL,72.02564102564102,15038,Pave,Lvl,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,Gable,HdBoard,None,0.0,3,3,PConc,4,3,1,3,138.0,0.0,916.0,4,Y,5,1636,0.0,2,1,3,7,7,1,3,Attchd,1996.0,3,2.0,386.0,3,3,3,WD ,173000
60,64,60,RL,92.0,11764,Pave,Lvl,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,BrkFace,348.0,4,3,PConc,4,3,1,6,524.0,0.0,1152.0,5,Y,5,2270,0.0,2,1,4,9,7,1,4,Attchd,1999.0,3,3.0,671.0,3,3,3,WD ,290000
61,1799,60,FV,75.0,9000,Pave,Lvl,Somerst,Norm,1Fam,2Story,8,5,2007,2007,Gable,CmentBd,None,0.0,4,3,PConc,4,3,3,6,64.0,0.0,1184.0,5,Y,5,2610,0.0,2,1,5,11,7,1,4,BuiltIn,2007.0,3,2.0,550.0,3,3,3,New,303477
62,230,20,RL,92.5,20062,Pave,Low,ClearCr,Norm,1Fam,1Story,7,7,1977,2001,Hip,Wd Sdng,None,0.0,4,4,CBlock,4,3,4,5,1092.0,0.0,1420.0,4,Y,5,1483,1.0,1,1,3,4,7,2,3,Attchd,1977.0,2,2.0,690.0,3,3,3,WD ,270000
63,1295,50,RM,81.0,7308,Pave,Lvl,OldTown,Artery,1Fam,1.5Fin,5,5,1920,1950,Gable,Wd Shng,None,0.0,2,2,BrkTil,3,3,1,3,360.0,0.0,936.0,4,N,4,1740,0.0,1,1,5,6,7,1,4,Detchd,1920.0,1,1.0,225.0,2,2,1,WD ,122250
64,638,20,RL,70.0,8750,Pave,Lvl,NAmes,Norm,1Fam,1Story,5,5,1955,1955,Gable,AsbShng,None,0.0,3,3,CBlock,3,3,1,3,172.0,483.0,1382.0,4,Y,4,1382,0.0,1,1,4,6,7,0,0,Attchd,1955.0,1,1.0,350.0,3,3,3,WD ,153000
65,2278,20,RL,70.0,8402,Pave,Lvl,Mitchel,Feedr,1Fam,1Story,5,5,2007,2007,Gable,VinylSd,None,0.0,3,3,PConc,4,3,1,5,206.0,0.0,1120.0,5,Y,5,1120,0.0,1,1,3,6,7,0,0,,0.0,0,0.0,0.0,0,0,3,New,147000
66,2202,70,RL,63.0,4000,Pave,Lvl,Crawfor,Norm,1Fam,2Story,7,8,1930,1995,Gable,Wd Sdng,None,0.0,3,3,BrkTil,4,3,1,6,246.0,0.0,531.0,3,Y,5,1098,1.0,1,1,3,5,7,1,4,Detchd,1930.0,1,1.0,216.0,3,3,3,WD ,148500
67,2833,160,RM,32.0,3363,Pave,Lvl,Edwards,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,VinylSd,Stone,117.0,4,3,PConc,4,3,1,1,0.0,0.0,976.0,5,Y,5,1708,0.0,2,1,4,7,3,0,0,Detchd,2004.0,1,2.0,380.0,3,3,3,WD ,130000
68,1707,20,RL,94.0,13615,Pave,HLS,NridgHt,Norm,1Fam,1Story,9,5,2006,2006,Hip,MetalSd,Stone,510.0,5,3,PConc,5,3,4,1,0.0,0.0,1802.0,5,Y,5,1802,0.0,2,1,5,7,7,1,4,Attchd,2006.0,3,3.0,843.0,3,3,3,WD ,372000
69,2428,120,RL,43.0,3013,Pave,Lvl,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2005,Gable,VinylSd,BrkFace,145.0,4,3,PConc,4,3,4,6,16.0,0.0,1362.0,5,Y,5,1506,0.0,2,1,4,6,7,1,4,Attchd,2005.0,3,2.0,440.0,3,3,3,WD ,213490
70,242,20,RL,44.0,17485,Pave,Lvl,Edwards,Norm,1Fam,1Story,7,5,2009,2010,Gable,VinylSd,Stone,96.0,4,3,PConc,4,3,4,6,1346.0,0.0,1508.0,5,Y,5,1508,1.0,1,1,4,5,7,2,3,Attchd,2009.0,2,2.0,572.0,3,3,3,Con,308030
71,1564,20,RL,75.47692307692307,23730,Pave,Lvl,Mitchel,Norm,1Fam,1Story,7,5,1996,1997,Gable,MetalSd,BrkFace,668.0,4,3,PConc,5,3,2,6,700.0,0.0,1840.0,5,Y,5,2032,1.0,3,1,4,7,7,0,0,Attchd,1996.0,3,3.0,786.0,3,3,3,WD ,300000
72,2613,20,RL,79.0,8910,Pave,Lvl,NAmes,Norm,1Fam,1Story,6,6,1959,1959,Hip,BrkFace,None,0.0,3,3,CBlock,3,3,2,5,655.0,0.0,655.0,5,Y,5,1194,0.0,1,1,3,6,7,1,2,BuiltIn,1954.0,3,2.0,539.0,3,3,3,WD ,159500
73,2832,160,RM,24.0,2522,Pave,Lvl,Edwards,Norm,Twnhs,2Story,7,5,2004,2004,Gable,VinylSd,Stone,50.0,4,3,PConc,4,3,1,1,0.0,0.0,970.0,5,Y,5,1709,0.0,2,1,4,7,3,0,0,Detchd,2004.0,1,2.0,380.0,3,3,3,WD ,137500
74,2459,20,RL,73.0,8688,Pave,Lvl,Somerst,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,BrkFace,228.0,4,3,PConc,4,3,3,1,0.0,0.0,1616.0,5,Y,5,1616,0.0,2,1,4,7,7,0,0,Attchd,2005.0,2,3.0,834.0,3,3,3,WD ,232000
75,1360,30,RM,62.07936507936508,6291,Grvl,Lvl,IDOTRR,RRNe,1Fam,1Story,6,6,1930,1950,Gable,Wd Shng,None,0.0,4,4,BrkTil,3,3,1,1,0.0,0.0,768.0,3,Y,5,768,0.0,1,1,3,4,7,0,0,Detchd,1930.0,1,2.0,440.0,3,3,1,WD ,93850
76,2723,30,RL,72.77464788732394,17529,Pave,Lvl,Sawyer,Norm,1Fam,1Story,5,5,1924,1950,Gable,Wd Sdng,Stone,65.0,3,3,BrkTil,3,3,1,1,0.0,0.0,872.0,2,N,3,872,0.0,1,1,2,5,4,1,4,Detchd,1924.0,1,1.0,322.0,2,2,1,WD ,105000
77,1350,30,RM,60.0,6324,Pave,Lvl,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0.0,0.0,520.0,2,N,5,520,0.0,1,1,2,4,7,0,0,Detchd,1920.0,1,1.0,240.0,2,3,3,WD ,68500
78,136,90,RL,80.0,11600,Pave,Lvl,NAmes,Feedr,Duplex,2Story,5,5,1960,1960,Gable,MetalSd,BrkFace,361.0,3,3,CBlock,3,3,1,3,443.0,0.0,1105.0,3,Y,4,2274,0.0,2,2,3,12,7,0,0,Detchd,1960.0,1,2.0,480.0,3,3,3,WD ,154300
79,2235,50,RM,50.0,7288,Pave,Lvl,IDOTRR,Artery,1Fam,1.5Fin,5,7,1925,2003,Gable,VinylSd,None,0.0,4,4,BrkTil,3,1,1,1,0.0,0.0,936.0,5,Y,5,1601,0.0,2,1,3,6,7,0,0,,0.0,0,0.0,0.0,0,0,1,WD ,129850
80,1993,70,RM,35.0,4571,Pave,Lvl,OldTown,Norm,1Fam,2Story,5,7,1910,1950,Gable,MetalSd,None,0.0,3,3,BrkTil,3,3,1,4,168.0,0.0,616.0,5,Y,5,1232,0.0,1,1,3,6,7,0,0,Detchd,1920.0,1,2.0,480.0,2,2,3,WD ,114000
